Z	a	 b	c 	e(%)
37	1.0181	0.4202	2.8793	0.4546
38	1.0049	0.4189	2.8152	0.4523
39	1.0050	0.4680	2.5423	0.4748
40	1.0084	0.5275	2.2926	0.4667
41	1.0267	0.6247	2.0235	0.4389
42	1.0340	0.6650	1.9265	0.4220
43	1.0283	0.6626	1.9069	0.3510
44	1.0431	0.7297	1.7839	0.4046
45	1.0470	0.7262	1.7848	0.4350
46	1.0592	0.7298	1.7869	0.5942
47	1.0549	0.6874	1.8487	0.6466
48	1.0487	0.6463	1.9123	0.6926
49	1.0412	0.5995	1.9979	0.6524
50	1.0367	0.5778	2.0339	0.5848
51	1.0343	0.5814	2.0016	0.5300
52	1.0311	0.5793	1.9881	0.4999
53	1.0339	0.6365	1.8413	0.5035
54	1.0281	0.5886	1.9339	0.4667
55	1.0188	0.5679	1.9573	0.4290
56	1.0107	0.5510	1.9746	0.4361
57	1.0186	0.6951	1.6480	0.5863
58	1.0093	0.5537	1.9453	0.5024
59	1.0093	0.4739	2.1660	0.4445
60	1.0062	0.4132	2.3996	0.4714
61	1.0088	0.4082	2.4005	0.4568
62	1.0093	0.4013	2.4015	0.4613
63	1.0096	0.3945	2.4022	0.5264
64	1.0095	0.3913	2.4021	0.5461
65	1.0099	0.3858	2.4023	0.4928
66	1.0108	0.3792	2.4020	0.5107
67	1.0179	0.3791	2.4024	0.5215
68	1.0116	0.3681	2.4020	0.5686
69	1.0124	0.3608	2.4147	0.5232
70	1.0146	0.3582	2.3999	0.5828
71	1.0120	0.3532	2.3993	0.4951
72	1.0126	0.3512	2.3990	0.4468
73	1.0131	0.3488	2.3987	0.4336
74	1.0131	0.3453	2.3983	0.4591
75	1.0237	0.4417	1.9654	0.4015
76	1.0249	0.4568	1.9049	0.4174
77	1.0273	0.4772	1.8335	0.3849
78	1.0354	0.5168	1.7275	0.4680
79	1.0431	0.5814	1.5789	0.5306
80	1.0361	0.5293	1.6803	0.5130
81	1.0339	0.5341	1.6544	0.5149
82	1.0315	0.5297	1.6537	0.4979
83	1.0298	0.5477	1.6001	0.4606
84	1.0287	0.5567	1.5709	0.4396
85	1.0298	0.5963	1.4861	0.4243
86	1.0275	0.5923	1.4856	0.3928
87	1.0216	0.5679	1.5185	0.3876
88	1.0146	0.5454	1.5502	0.3646
89	1.0137	0.5648	1.5024	0.3088
90	1.0110	0.5655	1.4917	0.3069
91	1.0135	0.5479	1.5279	0.3102
92	1.0184	0.5884	1.4479	0.3423
93	1.0161	0.5407	1.5358	0.2950
94	1.0150	0.4812	1.6715	0.3230
95	1.0162	0.4605	1.7288	0.3042
